simulation_id,round,timestamp,centralized_loss,centralized_mta,centralized_asr,num_clients
,0,2025-10-26T02:58:28.203987,2.5352122510314747,0.1001,0.0,
,0,2025-10-26T03:05:22.808997,2.678590094207958,0.1034,0.0,
,1,2025-10-26T03:06:31.206418,2.4855772431489007,0.1027,0.0,
,2,2025-10-26T03:07:17.468571,1.952082127522511,0.2321,0.0,
,3,2025-10-26T03:08:06.797381,1.7346461434273204,0.3474,0.0009765625,
,4,2025-10-26T03:08:55.736882,1.4869020440775877,0.4642,0.0068359375,
,5,2025-10-26T03:09:43.087135,1.36651503508258,0.509,0.0224609375,
,6,2025-10-26T03:10:30.417826,1.2505306491426602,0.5537,0.0302734375,
,7,2025-10-26T03:11:21.149089,1.1673980833618505,0.5861,0.0400390625,
,8,2025-10-26T03:12:07.716876,1.1103003021258457,0.608,0.046875,
,9,2025-10-26T03:12:54.134999,1.0302248517419124,0.6377,0.041015625,
,10,2025-10-26T03:13:43.955843,0.994568355903504,0.6549,0.037109375,
,11,2025-10-26T03:14:30.603326,0.9465322775445926,0.6753,0.04296875,
,12,2025-10-26T03:15:16.540826,0.9152435580636286,0.6863,0.05078125,
,13,2025-10-26T03:16:04.389782,0.8766552889423006,0.7025,0.0458984375,
,14,2025-10-26T03:16:49.153106,0.8449780599326845,0.7138,0.0458984375,
,15,2025-10-26T03:17:36.863044,0.8337393315734377,0.718,0.0595703125,
,16,2025-10-26T03:18:26.973982,0.8077493685825615,0.7272,0.052734375,
,17,2025-10-26T03:19:20.727480,0.7957917827709465,0.7302,0.064453125,
,18,2025-10-26T03:20:13.946271,0.7672186011721374,0.7424,0.0693359375,
,19,2025-10-26T03:21:07.296878,0.7719251407179862,0.7373,0.0595703125,
,20,2025-10-26T03:22:00.523546,0.7588750215093042,0.744,0.0517578125,
,21,2025-10-26T03:22:51.587032,0.7287726675628856,0.754,0.0654296875,
,22,2025-10-26T03:23:41.556986,0.7267308007380006,0.7556,0.0615234375,
,23,2025-10-26T03:24:30.396554,0.7123413397248384,0.7629,0.0546875,
,24,2025-10-26T03:25:19.830644,0.7014285453185913,0.7658,0.064453125,
,25,2025-10-26T03:26:08.985020,0.718245474965709,0.7589,0.07421875,
,26,2025-10-26T03:26:56.962846,0.6948676768002237,0.7645,0.072265625,
,27,2025-10-26T03:27:44.977993,0.6817967413337367,0.7713,0.0673828125,
,28,2025-10-26T03:28:31.579995,0.6747891303080662,0.7705,0.0732421875,
,29,2025-10-26T03:29:17.151991,0.6763522664832461,0.7737,0.0712890625,
,30,2025-10-26T03:30:05.400054,0.6723966296691044,0.7753,0.068359375,
,31,2025-10-26T03:30:54.989197,0.6905617503223905,0.7683,0.0703125,
,32,2025-10-26T03:31:42.738624,0.6734530071544039,0.7746,0.05859375,
,33,2025-10-26T03:32:30.523626,0.6495208652915468,0.784,0.08203125,
,34,2025-10-26T03:33:19.524838,0.6590865932072804,0.7794,0.0615234375,
,35,2025-10-26T03:34:07.020022,0.6676791283735044,0.775,0.0546875,
,36,2025-10-26T03:34:54.752747,0.6435436251436829,0.7829,0.0634765625,
,37,2025-10-26T03:35:43.752501,0.6373222677191351,0.7916,0.078125,
,38,2025-10-26T03:36:30.334003,0.6558975379937774,0.7797,0.0576171875,
,39,2025-10-26T03:37:19.720272,0.624309247656233,0.7903,0.0712890625,
,40,2025-10-26T03:38:08.498447,0.6372244003092408,0.7868,0.0634765625,
,41,2025-10-26T03:38:55.463145,0.639266382736765,0.7864,0.0654296875,
,42,2025-10-26T03:39:43.982687,0.61734401667194,0.7976,0.07421875,
,43,2025-10-26T03:40:31.673983,0.6240792143496738,0.7905,0.0634765625,
